排名,省区市,2020年人均GDP,2021年人均GDP
"
				31省份2021年人均GDP（单位：万元）","
				省区市","
				2020年人均GDP","
				2021年人均GDP"
"
				排名","
				北京","
				16.42","
				18.39"
"
				1","
				上海","
				15.67","
				17.38"
"
				2","
				江苏","
				12.12","
				13.73"
"
				3","
				福建","
				10.5","
				11.75"
"
				4","
				浙江","
				10.01","
				11.39"
"
				5","
				天津","
				10.1","
				11.32"
"
				6","
				广东","
				8.79","
				9.87"
"
				7","
				重庆","
				7.81","
				8.7"
"
				8","
				湖北","
				7.52","
				8.66"
"
				9","
				内蒙古","
				7.22","
				8.53"
"
				10","
				山东","
				7.20??","
				8.18"
"
				11","
				陕西","
				6.62","
				7.54"
"
				12","
				安徽","
				6.34","
				7.04"
"
				13","
				湖南","
				6.25","
				6.93"
"
				14","
				江西","
				5.69","
				6.55"
"
				15","
				辽宁","
				5.90??","
				6.48"
"
				16","
				山西","
				5.11","
				6.47"
"
				17","
				四川","
				5.81","
				6.44"
"
				18","
				海南","
				5.52","
				6.42"
"
				19","
				宁夏","
				5.49","
				5.28"
"
				20","
				新疆","
				5.34","
				6.19"
"
				21","
				河南","
				5.46","
				5.93"
"
				22","
				云南","
				5.19","
				5.75"
"
				23","
				青海","
				5.08","
				5.65"
"
				24","
				西藏","
				5.22","
				5.50+"
"
				25","
				吉林","
				5.09","
				5.5"
"
				26","
				河北","
				4.85","
				5.41"
"
				27","
				贵州","
				4.62","
				5.08"
"
				28","
				广西","
				4.41","
				4.94"
"
				29","
				黑龙江","
				4.28","
				4.67"
"
				30","
				甘肃","
				3.59","
				4.09"
